time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,6
2023-03-28 00:00:00+00:00,8
2023-03-29 00:00:00+00:00,11
2023-03-30 00:00:00+00:00,14
2023-03-31 00:00:00+00:00,18
2023-04-01 00:00:00+00:00,25
2023-04-02 00:00:00+00:00,104
2023-04-03 00:00:00+00:00,374
2023-04-04 00:00:00+00:00,640
2023-04-05 00:00:00+00:00,941
2023-04-06 00:00:00+00:00,1268
2023-04-07 00:00:00+00:00,1611
2023-04-08 00:00:00+00:00,1912
2023-04-09 00:00:00+00:00,2193
2023-04-10 00:00:00+00:00,2545
2023-04-11 00:00:00+00:00,2998
2023-04-12 00:00:00+00:00,4028
2023-04-13 00:00:00+00:00,5876
2023-04-14 00:00:00+00:00,7963
2023-04-15 00:00:00+00:00,9403
2023-04-16 00:00:00+00:00,10595
2023-04-17 00:00:00+00:00,12072
2023-04-18 00:00:00+00:00,13083
2023-04-19 00:00:00+00:00,13835
2023-04-20 00:00:00+00:00,14488
2023-04-21 00:00:00+00:00,15040
2023-04-22 00:00:00+00:00,15505
2023-04-23 00:00:00+00:00,16204
2023-04-24 00:00:00+00:00,17693
2023-04-25 00:00:00+00:00,18782
2023-04-26 00:00:00+00:00,19481
2023-04-27 00:00:00+00:00,20405
2023-04-28 00:00:00+00:00,20969
2023-04-29 00:00:00+00:00,21320
2023-04-30 00:00:00+00:00,21622
2023-05-01 00:00:00+00:00,21927
2023-05-02 00:00:00+00:00,22231
2023-05-03 00:00:00+00:00,22580
2023-05-04 00:00:00+00:00,22950
2023-05-05 00:00:00+00:00,23268
2023-05-06 00:00:00+00:00,23592
2023-05-07 00:00:00+00:00,23842
2023-05-08 00:00:00+00:00,24101
2023-05-09 00:00:00+00:00,24317
2023-05-10 00:00:00+00:00,24530
2023-05-11 00:00:00+00:00,24707
2023-05-12 00:00:00+00:00,24868
2023-05-13 00:00:00+00:00,24997
2023-05-14 00:00:00+00:00,25146
2023-05-15 00:00:00+00:00,25315
2023-05-16 00:00:00+00:00,25463
2023-05-17 00:00:00+00:00,25612
2023-05-18 00:00:00+00:00,25754
2023-05-19 00:00:00+00:00,25886
2023-05-20 00:00:00+00:00,25996
2023-05-21 00:00:00+00:00,26087
2023-05-22 00:00:00+00:00,26271
2023-05-23 00:00:00+00:00,26402
2023-05-24 00:00:00+00:00,26529
2023-05-25 00:00:00+00:00,26667
2023-05-26 00:00:00+00:00,26797
2023-05-27 00:00:00+00:00,26892
2023-05-28 00:00:00+00:00,26973
2023-05-29 00:00:00+00:00,27075
2023-05-30 00:00:00+00:00,27167
2023-05-31 00:00:00+00:00,27261
2023-06-01 00:00:00+00:00,27321
2023-06-02 00:00:00+00:00,27405
2023-06-03 00:00:00+00:00,27486
2023-06-04 00:00:00+00:00,27547
2023-06-05 00:00:00+00:00,27656
2023-06-06 00:00:00+00:00,27746
2023-06-07 00:00:00+00:00,27821
2023-06-08 00:00:00+00:00,27905
2023-06-09 00:00:00+00:00,27969
2023-06-10 00:00:00+00:00,28020
2023-06-11 00:00:00+00:00,28080
