url_path,views_total,views_unique
/Significant-Gravitas/Auto-GPT,59189,30795
/Significant-Gravitas/Auto-GPT/blob/master/autogpts/autogpt/README.md,17070,4847
/Significant-Gravitas/Auto-GPT/tree/master/autogpts/autogpt,8254,2101
/Significant-Gravitas/Auto-GPT/tree/master/frontend,5631,1704
/Significant-Gravitas/Auto-GPT/releases/tag/v0.4.7,5326,3444
/Significant-Gravitas/Auto-GPT/tree/master/autogpts,5083,1474
/Significant-Gravitas/Auto-GPT/tree/master/autogpts/autogpt/autogpt,3537,777
/Significant-Gravitas/Auto-GPT/releases,2479,1304
/Significant-Gravitas/Auto-GPT/tree/master/docs,2447,835
/Significant-Gravitas/Auto-GPT/blob/master/README.md,2400,729
