time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,1140,204,7021,2545
2023-09-07 00:00:00+00:00,1048,349,14118,4805
2023-09-08 00:00:00+00:00,1277,346,13009,4242
2023-09-09 00:00:00+00:00,705,290,8951,3144
2023-09-10 00:00:00+00:00,730,326,9224,3380
2023-09-11 00:00:00+00:00,797,376,13188,4957
2023-09-12 00:00:00+00:00,1367,453,18644,5326
2023-09-13 00:00:00+00:00,966,393,21977,5489
2023-09-14 00:00:00+00:00,1301,392,20522,5157
2023-09-15 00:00:00+00:00,1694,377,17672,4644
2023-09-16 00:00:00+00:00,1372,367,13370,3112
2023-09-17 00:00:00+00:00,1185,358,17007,3549
2023-09-18 00:00:00+00:00,1435,477,22457,5186
2023-09-19 00:00:00+00:00,1099,456,20116,5239
2023-09-20 00:00:00+00:00,1383,430,18823,4504
