time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,6
2023-03-28 00:00:00+00:00,8
2023-03-29 00:00:00+00:00,11
2023-03-30 00:00:00+00:00,14
2023-03-31 00:00:00+00:00,18
2023-04-01 00:00:00+00:00,24
2023-04-02 00:00:00+00:00,102
2023-04-03 00:00:00+00:00,365
2023-04-04 00:00:00+00:00,615
2023-04-05 00:00:00+00:00,893
2023-04-06 00:00:00+00:00,1196
2023-04-07 00:00:00+00:00,1525
2023-04-08 00:00:00+00:00,1816
2023-04-09 00:00:00+00:00,2081
2023-04-10 00:00:00+00:00,2415
2023-04-11 00:00:00+00:00,2847
2023-04-12 00:00:00+00:00,3842
2023-04-13 00:00:00+00:00,5620
2023-04-14 00:00:00+00:00,7641
2023-04-15 00:00:00+00:00,9019
2023-04-16 00:00:00+00:00,10150
2023-04-17 00:00:00+00:00,11570
2023-04-18 00:00:00+00:00,12541
2023-04-19 00:00:00+00:00,13260
2023-04-20 00:00:00+00:00,13892
2023-04-21 00:00:00+00:00,14419
2023-04-22 00:00:00+00:00,14864
2023-04-23 00:00:00+00:00,15524
2023-04-24 00:00:00+00:00,16938
2023-04-25 00:00:00+00:00,17975
2023-04-26 00:00:00+00:00,18630
2023-04-27 00:00:00+00:00,19519
2023-04-28 00:00:00+00:00,20059
2023-04-29 00:00:00+00:00,20389
2023-04-30 00:00:00+00:00,20676
2023-05-01 00:00:00+00:00,20963
2023-05-02 00:00:00+00:00,21253
2023-05-03 00:00:00+00:00,21583
2023-05-04 00:00:00+00:00,21936
2023-05-05 00:00:00+00:00,22245
2023-05-06 00:00:00+00:00,22558
2023-05-07 00:00:00+00:00,22804
2023-05-08 00:00:00+00:00,23051
2023-05-09 00:00:00+00:00,23254
2023-05-10 00:00:00+00:00,23460
2023-05-11 00:00:00+00:00,23626
2023-05-12 00:00:00+00:00,23777
2023-05-13 00:00:00+00:00,23901
2023-05-14 00:00:00+00:00,24039
2023-05-15 00:00:00+00:00,24198
2023-05-16 00:00:00+00:00,24340
2023-05-17 00:00:00+00:00,24477
2023-05-18 00:00:00+00:00,24615
2023-05-19 00:00:00+00:00,24739
2023-05-20 00:00:00+00:00,24843
2023-05-21 00:00:00+00:00,24925
2023-05-22 00:00:00+00:00,25103
2023-05-23 00:00:00+00:00,25226
2023-05-24 00:00:00+00:00,25345
2023-05-25 00:00:00+00:00,25474
2023-05-26 00:00:00+00:00,25595
2023-05-27 00:00:00+00:00,25684
2023-05-28 00:00:00+00:00,25759
2023-05-29 00:00:00+00:00,25849
2023-05-30 00:00:00+00:00,25941
2023-05-31 00:00:00+00:00,26029
2023-06-01 00:00:00+00:00,26086
2023-06-02 00:00:00+00:00,26163
2023-06-03 00:00:00+00:00,26240
2023-06-04 00:00:00+00:00,26298
2023-06-05 00:00:00+00:00,26400
2023-06-06 00:00:00+00:00,26487
2023-06-07 00:00:00+00:00,26559
2023-06-08 00:00:00+00:00,26641
2023-06-09 00:00:00+00:00,26703
2023-06-10 00:00:00+00:00,26753
2023-06-11 00:00:00+00:00,26811
