url_path,views_total,views_unique
/Significant-Gravitas/AutoGPT,28326,17623
/Significant-Gravitas/AutoGPT/blob/master/QUICKSTART.md,6192,1904
/Significant-Gravitas/AutoGPT/tree/master/autogpts,3396,1077
/Significant-Gravitas/AutoGPT/tree/master/autogpts/autogpt,3143,922
/Significant-Gravitas/AutoGPT/blob/master/autogpts/forge/tutorials/001_getting_started.md,2051,672
/Significant-Gravitas/AutoGPT/tree/master/autogpts/autogpt/autogpt,1544,376
/Significant-Gravitas/AutoGPT/issues,1504,702
/Significant-Gravitas/AutoGPT/tree/master/frontend,1329,466
/Significant-Gravitas/AutoGPT/fork,1208,387
/Significant-Gravitas/AutoGPT/releases/tag/autogpt-v0.5.1,1153,836
