time_iso8601,stargazers_cumulative_snapshot
2023-10-03 23:02:49+00:00,149829
2023-10-05 23:02:47+00:00,149958
2023-10-06 23:02:36+00:00,149998
2023-10-07 23:02:38+00:00,150054
2023-10-08 23:02:38+00:00,150111
2023-10-09 23:03:00+00:00,150204
2023-10-10 23:02:43+00:00,150339
2023-10-11 23:02:50+00:00,150475
2023-10-12 23:02:45+00:00,150552
2023-10-13 23:02:41+00:00,150618
2023-10-14 23:02:47+00:00,150681
2023-10-15 23:02:42+00:00,150745
2023-10-16 23:02:55+00:00,150829
2023-10-17 23:02:39+00:00,150895
2023-10-18 23:02:49+00:00,150979
2023-10-19 23:02:41+00:00,151052
2023-10-20 23:02:48+00:00,151127
2023-10-21 23:02:47+00:00,151183
2023-10-22 23:02:51+00:00,151231
2023-10-23 23:02:55+00:00,151428
2023-10-24 23:02:52+00:00,151586
2023-10-25 23:02:51+00:00,151723
2023-10-26 23:02:50+00:00,151816
2023-10-27 23:02:43+00:00,151882
2023-10-28 23:02:40+00:00,151936
2023-10-29 23:02:43+00:00,151991
2023-10-30 23:02:37+00:00,152061
2023-10-31 23:02:36+00:00,152137
2023-11-01 23:02:49+00:00,152220
2023-11-02 23:02:36+00:00,152289
2023-11-05 23:02:27+00:00,152442
2023-11-06 23:02:31+00:00,152517
2023-11-07 23:02:39+00:00,152588
2023-11-08 23:02:38+00:00,152656
2023-11-09 23:02:46+00:00,152728
2023-11-10 23:02:35+00:00,152787
2023-11-11 23:02:39+00:00,152835
2023-11-12 23:02:45+00:00,152882
2023-11-13 23:02:33+00:00,152958
2023-11-15 23:02:34+00:00,153105
2023-11-16 23:02:43+00:00,153173
2023-11-17 23:02:40+00:00,153257
2023-11-18 23:02:37+00:00,153294
2023-11-19 23:02:37+00:00,153335
2023-11-20 23:02:38+00:00,153430
2023-11-21 23:02:44+00:00,153510
2023-11-22 23:02:45+00:00,153579
2023-11-23 23:02:39+00:00,153650
2023-11-24 23:02:40+00:00,153721
2023-11-25 23:02:46+00:00,153764
2023-11-26 23:02:37+00:00,153813
2023-11-27 23:02:35+00:00,153864
2023-11-28 23:02:41+00:00,153942
2023-11-29 23:02:42+00:00,154006
2023-11-30 23:02:41+00:00,154079
2023-12-01 23:02:35+00:00,154140
2023-12-03 23:02:48+00:00,154242
2023-12-05 23:02:33+00:00,154398
